"","deploymentID","locationID","locationName","latitude","longitude","coordinateUncertainty","deploymentStart","deploymentEnd","setupBy","cameraID","cameraModel","cameraDelay","cameraHeight","cameraDepth","cameraTilt","cameraHeading","detectionDistance","timestampIssues","baitUse","featureType","habitat","deploymentGroups","deploymentTags","deploymentComments","days"
"179","e84fec7f-3d8e-45bd-8c4e-f3e95b615796","697e5d53-e5d7-4c93-85d2-74324421b87b","SK21",53.0585132784,5.8664025732,NA,2023-05-19 10:43:01,2023-05-22 14:06:07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3.14104166666667
"180","e8b79484-20b7-423e-89cd-74f27a0c5651","8e3381b3-f09a-4375-bfe9-3e0e5d36e5e6","SK15",53.064248473,5.8692219535,NA,2023-06-07 02:21:23,2023-06-07 14:20:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.499571759259259
"181","e9711dbc-5f33-4e1e-942e-87d356522293","f7c7435e-3dbc-4c42-ad42-0dafb219418e","SK03",53.0599489211,5.863008639,NA,2023-06-03 14:35:20,2023-06-04 12:26:22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.910439814814815
"182","eaa5060b-7b0b-4f30-88e3-f308670fd1b9","1ca768db-c6df-4e50-9bfe-4a3e5f69df88","SK29",53.0535772299,5.865877064,NA,2023-03-26 11:23:29,2023-04-18 22:17:27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",23.4541435185185
"183","ecacb5be-4cda-4f1a-b110-adfa87b0b7d7","0bbd89df-8437-4029-8d21-7de4ac8de442","SK16",53.0623632742,5.8773121455,NA,2023-05-21 10:26:14,2023-05-22 12:03:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1.06722222222222
"184","ed450ed6-14dc-42d9-b55b-1b0429370678","7ca6dff1-d228-4ac3-8a10-2731fbc7897d","SK28",53.0542098637,5.867175816,NA,2023-05-17 13:00:00,2023-05-18 15:08:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1.08930555555556
"185","ed48819b-5f4d-406a-a6c0-f9781f1156ef","5982061a-e49d-4f45-ab28-d04f7c080f1d","SK25",53.054767419,5.8616518553,NA,2023-04-05 14:44:48,2023-04-25 05:06:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",19.5982291666667
"186","eef28d87-8ae2-46d3-87fc-78c0e0760f2a","01f3b90a-160f-4650-9e1b-a60defd778e5","SK02",53.0613523348,5.8643316686,NA,2023-05-26 06:00:00,2023-06-02 12:36:55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.27563657407407
"187","f124a57a-e051-4c6e-99a2-0b7b7fbb5540","b18237ea-1ede-41af-985f-10750305172f","SK01",53.0602088711,5.8608618231,NA,2023-04-17 15:39:58,2023-05-11 10:33:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",23.7870949074074
"188","f6135a41-cd28-4d62-86c6-c38a4662b911","01f3b90a-160f-4650-9e1b-a60defd778e5","SK02",53.0613523348,5.8643316686,NA,2023-06-04 11:25:54,2023-06-04 14:00:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.107222222222222
"189","f8a3b74f-c54c-4c5b-a07b-ea9861de8efd","5ddd7685-5a4f-4d14-afe7-c9cc016d8c75","SK06",53.0668117152,5.8670454133,NA,2023-05-30 06:57:25,2023-06-07 14:13:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",8.30266203703704
"190","f8f79699-90cf-492e-af84-d70eb0b59096","a32e8779-6b1f-4104-9e58-94f62f40b141","SK13",53.0657807461,5.8746308503,NA,2023-04-06 13:33:45,2023-04-25 05:30:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",18.664525462963
"191","fae932c0-417c-41a5-8344-a7e162e01768","35434171-5370-4bdc-8cba-092e3fc36fdc","SK18",53.0633547582,5.8794717252,NA,2023-05-21 15:15:30,2023-05-22 16:34:29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1.05484953703704
"192","fbbab413-5d22-4bb7-a55f-12984b973b02","99409599-e643-4af6-bce7-bd38e0ee52fa","SK10",53.0563689581,5.8589503191,NA,2023-04-29 12:38:06,2023-05-26 06:12:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",26.7321412037037
"193","fd325ba4-e7c0-46f8-be12-9ea3715b357e","a32e8779-6b1f-4104-9e58-94f62f40b141","SK13",53.0657807461,5.8746308503,NA,2023-05-22 14:44:40,2023-06-07 14:36:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",15.994224537037
"194","fd51fb17-b1bf-4a8c-a872-e3f60bf2cdbf","a32e8779-6b1f-4104-9e58-94f62f40b141","SK13",53.0657807461,5.8746308503,NA,2023-03-26 07:14:08,2023-04-06 13:26:34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",11.2586342592593
"195","ffb90969-5860-47d3-ae69-f8b40073bc19","5ddd7685-5a4f-4d14-afe7-c9cc016d8c75","SK06",53.0668117152,5.8670454133,NA,2023-05-18 09:08:45,2023-05-18 12:02:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.120532407407407
