deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraDepth,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
09b57639-21fd-40c8-8b70-1208cabca6aa,01f3b90a-160f-4650-9e1b-a60defd778e5,CG_23SK02,53.0613523348,5.8643316686,,2023-06-02T14:36:55+02:00,2023-06-03T14:04:56+02:00,,,,,,,,,,,,,,,,
0a3cd902-2c43-466c-9dff-e5878abac473,5ddd7685-5a4f-4d14-afe7-c9cc016d8c75,SK06,53.0668117152,5.8670454133,,2023-05-16T14:37:34+02:00,2023-05-17T15:47:35+02:00,,,,,,,,,,,,,,,,
0a618924-022c-42c1-a678-3f15a5df17d0,697e5d53-e5d7-4c93-85d2-74324421b87b,CG_23SK21,53.0585132784,5.8664025732,,2023-03-26T13:37:44+02:00,2023-04-06T16:35:28+02:00,,,,,,,,,,,,,,,,
0a7d1531-811b-4db6-a347-5351b03230d4,b18237ea-1ede-41af-985f-10750305172f,CG_23SK01,53.0602088711,5.8608618231,,2023-03-26T10:37:31+02:00,2023-04-17T17:39:57+02:00,,,,,,,,,,,,,,,,
0a98bee5-b822-40bd-bc8d-fce6161b8761,21c176f0-5c95-4c89-b23c-03035c878a99,CG_23SK11,53.063155043,5.8702661041,,2023-06-07T09:45:13+02:00,2023-06-07T14:56:41+02:00,,,,,,,,,,,,,,,,
0b0ba9ec-b6d9-4357-a859-891ed7a08c87,7ca6dff1-d228-4ac3-8a10-2731fbc7897d,CG_23SK28,53.0542098637,5.867175816,,2023-04-05T17:00:00+02:00,2023-04-25T07:00:00+02:00,,,,,,,,,,,,,,,,
0bd30f41-d690-42d3-b070-ac4f85746927,,,,,,,,,,,,,,,,,,,,,,,
0c156d9e-8f10-46fd-b5f4-4e88220f4454,,,,,,,,,,,,,,,,,,,,,,,
0c50ea60-408e-4f98-9ea1-7ccb1667f763,,,,,,,,,,,,,,,,,,,,,,,
0f3bc588-0c9a-4f9a-9be7-27d0c49c2b83,2f0a36b9-746c-4e44-b1bc-e6f7353630ea,CG_23SK24,53.0559152384,5.8701167222,,2023-04-25T08:00:00+02:00,2023-05-03T11:14:13+02:00,,,,,,,,,,,,,,,,
0f80ea37-e1b7-4cf3-8a8f-29069f4ce16f,,,,,,,,,,,,,,,,,,,,,,,
0fcfb5f8-e3d9-4ba7-9449-e51360e69664,,,,,,,,,,,,,,,,,,,,,,,
0ff1edb4-d6d5-46cd-b960-d512ba433cbc,,,,,,,,,,,,,,,,,,,,,,,
0ff6a19d-72ea-4e9d-8f55-58fad90021ed,5ddd7685-5a4f-4d14-afe7-c9cc016d8c75,SK06,53.0668117152,5.8670454133,,2023-05-18T14:02:19+02:00,2023-05-18T14:12:53+02:00,,,,,,,,,,,,,,,,
1091104a-447b-4c22-981a-dc2c9a8d1076,,,,,,,,,,,,,,,,,,,,,,,
13b309ed-6821-4895-9a53-4ca3adc9fc7c,c284d9ab-d6bb-4014-85d7-d27e2f6ffabd,CG_23SK05,53.0576192866,5.8614913769,,2023-05-13T20:57:30+02:00,2023-05-15T22:00:00+02:00,,,,,,,,,,,,,,,,
13d2eb48-e187-449d-9ffb-099af9657b30,01f3b90a-160f-4650-9e1b-a60defd778e5,CG_23SK02,53.0613523348,5.8643316686,,2023-06-04T16:00:19+02:00,2023-06-04T18:16:15+02:00,,,,,,,,,,,,,,,,
13fb603b-5d04-41af-b052-3578afc37196,2f393075-c92a-4c4b-854e-a0d86ca39f76,CG_23SK26,53.0535731272,5.8638561511,,2023-05-22T20:30:28+02:00,2023-06-04T19:58:21+02:00,,,,,,,,,,,,,,,,
146499c3-62db-4aca-924c-754a4ad27c46,,,,,,,,,,,,,,,,,,,,,,,
155141f3-54f7-467d-ada5-dbac4d75403f,dcbc885c-431d-4629-abbb-3966438f7f64,SK30,53.0576154728,5.8685330976,,2023-05-22T21:00:00+02:00,2023-06-02T11:55:25+02:00,,,,,,,,,,,,,,,,
